symbol,R,time
BIO/USDT:USDT,0.5,2025-08-12 03:45:00
BIO/USDT:USDT,0.5,2025-08-12 03:45:00
BIO/USDT:USDT,-1.0,2025-08-12 04:30:00
BIO/USDT:USDT,-1.0,2025-08-12 04:30:00
BIO/USDT:USDT,-1.0,2025-08-12 09:00:00
BIO/USDT:USDT,0.5,2025-08-12 22:00:00
BIO/USDT:USDT,0.5,2025-08-13 09:00:00
BIO/USDT:USDT,-1.0,2025-08-13 10:15:00
BIO/USDT:USDT,-1.0,2025-08-13 13:15:00
BIO/USDT:USDT,1.7000000000000002,2025-08-14 12:30:00
BIO/USDT:USDT,0.5,2025-08-14 12:30:00
BIO/USDT:USDT,1.7000000000000002,2025-08-15 15:30:00
BIO/USDT:USDT,-1.0,2025-08-15 18:00:00
BIO/USDT:USDT,-1.0,2025-08-16 01:45:00
BIO/USDT:USDT,0.5,2025-08-16 13:30:00
BIO/USDT:USDT,-1.0,2025-08-16 18:15:00
BIO/USDT:USDT,-1.0,2025-08-17 03:15:00
BIO/USDT:USDT,-1.0,2025-08-17 09:00:00
BIO/USDT:USDT,0.5,2025-08-17 10:45:00
BIO/USDT:USDT,0.5,2025-08-17 13:00:00
BIO/USDT:USDT,1.3,2025-08-17 16:00:00
BIO/USDT:USDT,0.5,2025-08-17 16:00:00
BIO/USDT:USDT,0.5,2025-08-17 17:00:00
BIO/USDT:USDT,0.5,2025-08-17 17:30:00
BIO/USDT:USDT,0.5,2025-08-17 17:30:00
BIO/USDT:USDT,1.3,2025-08-17 18:30:00
BIO/USDT:USDT,0.5,2025-08-17 18:30:00
BIO/USDT:USDT,1.3,2025-08-17 21:00:00
BIO/USDT:USDT,1.7000000000000002,2025-08-17 23:00:00
BIO/USDT:USDT,-1.0,2025-08-17 23:30:00
BIO/USDT:USDT,-1.0,2025-08-18 00:00:00
BIO/USDT:USDT,-1.0,2025-08-18 01:30:00
BIO/USDT:USDT,-1.0,2025-08-18 09:00:00
BIO/USDT:USDT,1.3,2025-08-18 16:30:00
BIO/USDT:USDT,-1.0,2025-08-19 01:30:00
BIO/USDT:USDT,0.5,2025-08-19 07:30:00
BIO/USDT:USDT,-1.0,2025-08-19 07:45:00
BIO/USDT:USDT,0.5,2025-08-19 13:30:00
BIO/USDT:USDT,-1.0,2025-08-19 15:00:00
BIO/USDT:USDT,-1.0,2025-08-20 05:00:00
BIO/USDT:USDT,0.5,2025-08-20 07:45:00
BIO/USDT:USDT,0.5,2025-08-20 07:45:00
BIO/USDT:USDT,1.7000000000000002,2025-08-20 11:15:00
BIO/USDT:USDT,0.5,2025-08-20 11:15:00
BIO/USDT:USDT,-1.0,2025-08-20 11:45:00
BIO/USDT:USDT,1.3,2025-08-20 14:15:00
BIO/USDT:USDT,0.5,2025-08-20 15:30:00
BIO/USDT:USDT,-1.0,2025-08-20 15:30:00
BIO/USDT:USDT,-1.0,2025-08-20 15:45:00
BIO/USDT:USDT,1.7000000000000002,2025-08-21 23:00:00
BIO/USDT:USDT,1.7000000000000002,2025-08-22 06:15:00
BIO/USDT:USDT,0.5,2025-08-22 07:30:00
BIO/USDT:USDT,-1.0,2025-08-22 07:30:00
BIO/USDT:USDT,0.0,2025-08-22 11:00:00
MYX/USDT:USDT,-1.0,2025-08-12 09:45:00
MYX/USDT:USDT,-1.0,2025-08-12 16:30:00
MYX/USDT:USDT,-1.0,2025-08-12 16:30:00
MYX/USDT:USDT,0.5,2025-08-12 21:15:00
MYX/USDT:USDT,-1.0,2025-08-12 21:15:00
MYX/USDT:USDT,1.3,2025-08-13 06:45:00
